ID Selection	View	Channel	BeginTimes	EndTimes	LowFreqHz	HighFreqHz	Notes
1	Spectrogram 1	10	22.981148075	25.113419546	82.600	201.100	
2	Spectrogram 1	10	90.147699408	92.279970879	74.400	173.600	
3	Spectrogram 1	10	135.162819348	137.650469398	41.300	137.700	
4	Spectrogram 1	10	364.619921520	366.515273939	104.700	176.300	?
5	Spectrogram 1	10	463.178247285	465.073599704	90.900	190.100	?
6	Spectrogram 1	10	938.558325765	940.453678184	90.900	190.100	?
7	Spectrogram 1	10	969.713681145	971.372114511	66.100	140.500	?
8	Spectrogram 1	10	1098.716605133	1100.611957552	71.600	206.600	?
9	Spectrogram 1	10	1121.460834156	1123.711565153	104.700	286.500	
10	Spectrogram 1	10	1130.937596249	1132.359110563	146.000	231.400	?
11	Spectrogram 1	10	1141.835872655	1143.494306022	124.000	201.100	
12	Spectrogram 1	10	1158.775584896	1161.263234946	68.900	143.300	
13	Spectrogram 1	10	1214.215143139	1215.636657453	63.400	333.300	
14	Spectrogram 1	10	1215.992036032	1217.413550346	148.800	267.200	?
15	Spectrogram 1	10	1259.822060711	1261.598953603	96.400	294.800	
16	Spectrogram 1	10	1285.053939783	1286.830832675	79.900	151.500	?
17	Spectrogram 1	10	1789.101223593	1790.878116486	77.100	184.600	
18	Spectrogram 1	10	1824.165743337	1826.061095755	55.100	170.800	
19	Spectrogram 1	10	1891.806132774	1893.701485192	110.200	231.400	
20	Spectrogram 1	10	1907.205871175	1909.575061698	44.100	162.500	?
21	Spectrogram 1	10	1923.435326259	1925.330678677	55.100	179.100	
22	Spectrogram 1	10	1953.168667325	1955.656317374	79.900	206.600	
23	Spectrogram 1	10	1972.359110563	1974.136003455	101.900	179.100	?
24	Spectrogram 1	10	1997.472530109	1999.841720632	96.400	242.400	
25	Spectrogram 1	10	2042.724569102	2044.738381046	110.200	179.100	?
26	Spectrogram 1	10	2082.290050839	2084.896160415	79.900	195.600	
27	Spectrogram 1	10	2084.777700888	2086.791512833	71.600	179.100	
28	Spectrogram 1	10	2124.343182626	2127.067751728	68.900	206.600	
29	Spectrogram 1	10	2152.536549852	2154.550361797	63.400	170.800	
30	Spectrogram 1	10	2087.857648569	2089.871460513	90.900	195.600	?
31	Spectrogram 1	10	2162.250730997	2164.383002468	93.700	259.000	
32	Spectrogram 1	10	2215.083679664	2216.979032083	96.400	209.400	
33	Spectrogram 1	10	2257.136811451	2259.624461500	90.900	214.900	
34	Spectrogram 1	10	2365.883156466	2368.370806515	71.600	173.600	?
35	Spectrogram 1	10	2412.912088351	2415.044359822	46.800	115.700	?
36	Spectrogram 1	10	2443.948484205	2446.909972359	90.900	270.000	?
37	Spectrogram 1	10	2449.989920039	2452.003731984	71.600	168.000	?
38	Spectrogram 1	10	2452.477570089	2454.491382034	71.600	264.500	?
39	Spectrogram 1	10	2454.017543929	2455.675977295	96.400	278.200	?
40	Spectrogram 1	10	2526.159895360	2527.818328727	77.100	192.800	
41	Spectrogram 1	10	2594.392582428	2595.932556269	88.200	201.100	
42	Spectrogram 1	10	2659.249423001	2662.092451629	74.400	192.800	
43	Spectrogram 1	10	2680.098299605	2682.230571076	71.600	201.100	
44	Spectrogram 1	10	2711.668013327	2713.800284798	82.600	195.600	
45	Spectrogram 1	10	2747.442790227	2749.693521224	66.100	220.400	?
46	Spectrogram 1	10	2752.655009378	2754.787280849	90.900	181.800	
47	Spectrogram 1	10	2813.425246298	2815.320598717	93.700	217.600	
48	Spectrogram 1	10	2818.045167818	2820.058979763	90.900	195.600	
49	Spectrogram 1	10	2943.375846496	2945.389658440	71.600	231.400	
50	Spectrogram 1	10	2945.863496545	2947.640389437	93.700	201.100	?
51	Spectrogram 1	10	2961.026315893	2962.803208786	74.400	190.100	
52	Spectrogram 1	10	2969.910780355	2971.687673248	68.900	198.300	?
53	Spectrogram 1	10	3101.045975814	3102.822868707	74.400	170.800	
54	Spectrogram 1	10	3160.631617473	3162.526969891	74.400	184.600	
55	Spectrogram 1	10	3120.000000000	3122.250730997	77.100	203.900	?
56	Spectrogram 1	10	3243.435326259	3245.686057256	66.100	236.900	
57	Spectrogram 1	10	3277.551669793	3279.447022211	71.600	239.700	?
58	Spectrogram 1	10	3290.108379566	3292.359110563	63.400	190.100	?
59	Spectrogram 1	10	3357.274930898	3359.407202369	77.100	209.400	?
60	Spectrogram 1	10	3393.287126851	3395.182479269	112.900	253.400	
61	Spectrogram 1	10	3454.412242349	3456.070675716	71.600	234.200	
62	Spectrogram 1	10	3472.536549852	3475.024199901	118.500	228.700	
63	Spectrogram 1	10	3476.801092794	3477.867228529	107.400	209.400	?
64	Spectrogram 1	10	3680.434018263	3682.092451629	79.900	214.900	
65	Spectrogram 1	10	3727.818328727	3730.069059724	60.600	168.000	
66	Spectrogram 1	10	3790.009579961	3792.497230010	55.100	264.500	
67	Spectrogram 1	10	3833.839604640	3835.734957058	52.300	159.800	
68	Spectrogram 1	10	3848.055247779	3850.305978776	110.200	187.300	
69	Spectrogram 1	10	3872.813288746	3874.708641165	124.000	195.600	?
70	Spectrogram 1	10	3916.761772952	3919.012503949	74.400	242.400	
71	Spectrogram 1	10	3925.172399309	3927.304670780	35.800	115.700	?
72	Spectrogram 1	10	3931.450754195	3933.346106614	57.900	220.400	?
73	Spectrogram 1	10	4025.508117966	4027.640389437	63.400	217.600	
74	Spectrogram 1	10	4080.000000000	4081.421514314	82.600	173.600	?
75	Spectrogram 1	10	4102.744229023	4105.350338598	74.400	195.600	
76	Spectrogram 1	10	4132.832948667	4135.083679664	52.300	245.200	
77	Spectrogram 1	10	4153.207987167	4154.866420533	101.900	223.100	?
78	Spectrogram 1	10	4155.932556269	4157.117151530	74.400	181.800	
79	Spectrogram 1	10	4239.802400790	4241.579293682	96.400	270.000	?
80	Spectrogram 1	10	4246.436134255	4248.331486673	74.400	187.300	
81	Spectrogram 1	10	4282.329370681	4284.580101678	46.800	250.700	?
82	Spectrogram 1	10	4324.146083416	4326.515273939	66.100	173.600	
83	Spectrogram 1	10	4471.510233959	4473.642505429	82.600	162.500	?
84	Spectrogram 1	10	4479.328562685	4481.816212734	55.100	201.100	?
85	Spectrogram 1	10	4551.944252221	4553.484226061	77.100	259.000	
86	Spectrogram 1	10	4594.353262586	4596.722453110	60.600	184.600	
87	Spectrogram 1	10	4659.387542448	4661.756732971	85.400	253.400	?
88	Spectrogram 1	10	4751.075715696	4753.207987167	60.600	135.000	?
89	Spectrogram 1	10	4992.971068115	4994.866420533	85.400	201.100	?
90	Spectrogram 1	10	4995.932556269	4997.946368213	101.900	179.100	?
91	Spectrogram 1	10	5032.773468904	5035.024199901	68.900	195.600	?
92	Spectrogram 1	10	5126.712373149	5128.607725568	41.300	212.100	?
93	Spectrogram 1	10	5156.564173741	5159.407202369	74.400	198.300	
94	Spectrogram 1	10	5190.207179171	5192.457910168	85.400	173.600	
95	Spectrogram 1	10	5215.320598717	5217.571329714	68.900	176.300	?
96	Spectrogram 1	10	5245.527777887	5248.133887463	82.600	151.500	?
97	Spectrogram 1	10	5289.002923988	5291.372114511	68.900	305.800	
98	Spectrogram 1	10	5280.947676209	5282.724569102	112.900	179.100	?
99	Spectrogram 1	10	5341.954332182	5343.731225074	79.900	198.300	
100	Spectrogram 1	10	5375.122999506	5377.018351925	77.100	184.600	
