ID Selection	View	Channel	BeginTimes	EndTimes	LowFreqHz	HighFreqHz	Notes
1	Spectrogram 1	10	7.581409674	10.069059724	73.200	270.200	
2	Spectrogram 1	10	8.647545410	10.779816881	55.600	189.400	
3	Spectrogram 1	10	11.727493090	13.741305035	58.100	166.700	?
4	Spectrogram 1	10	13.385926456	14.925900296	60.600	174.200	?
5	Spectrogram 1	10	20.848876604	23.810364758	70.700	169.200	
6	Spectrogram 1	10	27.364150543	29.614881540	108.600	295.500	
7	Spectrogram 1	10	29.970260118	32.220991115	136.400	323.200	
8	Spectrogram 1	10	45.606917572	47.146891412	121.200	214.600	?
9	Spectrogram 1	10	54.965220138	57.334410661	103.500	222.200	
10	Spectrogram 1	10	63.612765548	66.100415597	116.200	257.600	
11	Spectrogram 1	10	67.995768016	70.720337117	68.200	186.900	
12	Spectrogram 1	10	73.800284798	76.998692004	83.300	247.500	
13	Spectrogram 1	10	101.045975814	103.652085390	73.200	252.500	
14	Spectrogram 1	10	127.107571570	129.595221619	96.000	214.600	
15	Spectrogram 1	10	129.476762093	131.964412142	83.300	209.600	
16	Spectrogram 1	10	133.030547878	135.399738401	42.900	239.900	
17	Spectrogram 1	10	146.534933860	149.022583909	85.900	247.500	
18	Spectrogram 1	10	149.970260118	152.102531589	80.800	224.700	
19	Spectrogram 1	10	152.931748272	155.419398322	90.900	229.800	
20	Spectrogram 1	10	183.494306022	186.337334650	73.200	247.500	
21	Spectrogram 1	10	188.824984699	191.194175222	108.600	197.000	?
22	Spectrogram 1	10	194.511041955	196.169475321	98.500	176.800	?
23	Spectrogram 1	10	206.830832675	208.963104146	78.300	219.700	
24	Spectrogram 1	10	225.073599704	227.205871175	65.700	194.400	?
25	Spectrogram 1	10	258.835064659	261.678093287	50.500	257.600	
26	Spectrogram 1	10	265.113419546	267.956448174	78.300	186.900	?
27	Spectrogram 1	10	269.970260118	272.102531589	83.300	156.600	?
28	Spectrogram 1	10	275.300938796	277.196291214	40.400	194.400	
29	Spectrogram 1	10	307.403470385	309.654201382	48.000	191.900	
30	Spectrogram 1	10	326.238535044	328.015427937	90.900	219.700	
31	Spectrogram 1	10	334.886080454	337.018351925	93.400	260.100	
32	Spectrogram 1	10	341.519813919	343.889004442	128.800	323.200	
33	Spectrogram 1	10	348.390466436	350.522737907	58.100	166.700	
34	Spectrogram 1	10	356.919552320	358.814904738	63.100	154.000	?
35	Spectrogram 1	10	364.441982231	367.285010859	98.500	244.900	
36	Spectrogram 1	10	381.737073050	384.106263574	65.700	247.500	?
37	Spectrogram 1	10	392.043051826	394.767620928	121.200	197.000	?
38	Spectrogram 1	10	421.362034551	423.849684600	83.300	199.500	
39	Spectrogram 1	10	467.442790227	469.693521224	60.600	197.000	
40	Spectrogram 1	10	494.096683613	496.347414610	73.200	186.900	?
41	Spectrogram 1	10	506.298014808	508.430286278	116.200	250.000	?
42	Spectrogram 1	10	545.745037019	548.232687068	60.600	199.500	
43	Spectrogram 1	10	573.346106614	576.070675716	98.500	260.100	?
44	Spectrogram 1	10	590.819136723	592.832948667	116.200	197.000	?
45	Spectrogram 1	10	597.215951135	599.229763080	101.000	255.100	?
46	Spectrogram 1	10	616.406394373	618.775584896	108.600	255.100	
47	Spectrogram 1	10	637.136811451	639.150623396	60.600	143.900	
48	Spectrogram 1	10	750.444098223	752.813288746	53.000	184.300	
49	Spectrogram 1	10	794.866420533	796.880232478	108.600	244.900	?
50	Spectrogram 1	10	831.707333169	834.076523692	83.300	191.900	
51	Spectrogram 1	10	845.922976308	847.818328727	116.200	250.000	
52	Spectrogram 1	10	872.102531589	874.590181639	98.500	250.000	
53	Spectrogram 1	10	875.774776900	878.854724580	80.800	217.200	
54	Spectrogram 1	10	882.526969891	885.133079467	78.300	189.400	
55	Spectrogram 1	10	950.759656960	953.365766535	88.400	234.800	
56	Spectrogram 1	10	964.501461994	966.515273939	113.600	247.500	?
57	Spectrogram 1	10	981.204255183	983.218067127	85.900	247.500	
58	Spectrogram 1	10	985.705717177	988.430286278	42.900	214.600	
59	Spectrogram 1	10	996.959372162	998.973184107	118.700	214.600	?
60	Spectrogram 1	10	1019.348222606	1022.546629812	73.200	199.500	
61	Spectrogram 1	10	1033.326446693	1035.458718164	154.000	265.200	
62	Spectrogram 1	10	1073.484226061	1075.853416584	83.300	194.400	
63	Spectrogram 1	10	1093.504385982	1095.992036032	78.300	186.900	?
64	Spectrogram 1	10	1097.650469398	1099.901200395	88.400	207.100	
65	Spectrogram 1	10	1099.071983712	1101.441174235	83.300	202.000	
66	Spectrogram 1	10	1113.168667325	1114.945560217	75.800	184.300	
67	Spectrogram 1	10	1119.683941264	1121.934672261	116.200	244.900	
68	Spectrogram 1	10	1107.956448174	1109.733341066	123.700	232.300	?
69	Spectrogram 1	10	1142.072791708	1143.968144126	126.300	244.900	
70	Spectrogram 1	10	1186.021275913	1188.035087858	73.200	169.200	
71	Spectrogram 1	10	1223.277046890	1225.527777887	108.600	232.300	
72	Spectrogram 1	10	1241.875192498	1244.362842547	93.400	184.300	
73	Spectrogram 1	10	1265.271198914	1268.469606120	80.800	212.100	
74	Spectrogram 1	10	1260.888196446	1263.020467917	85.900	189.400	?
75	Spectrogram 1	10	1308.982764067	1311.825792695	85.900	169.200	?
76	Spectrogram 1	10	1361.697753208	1364.303862784	118.700	237.400	
77	Spectrogram 1	10	1368.213027147	1369.871460513	90.900	229.800	
78	Spectrogram 1	10	1372.714489141	1374.965220138	73.200	227.300	
79	Spectrogram 1	10	1398.064827739	1399.604801579	108.600	247.500	
80	Spectrogram 1	10	1442.961488154	1444.856840573	118.700	181.800	
81	Spectrogram 1	10	1446.278354886	1447.936788253	131.300	204.500	
82	Spectrogram 1	10	1454.096683613	1455.873576505	83.300	159.100	
83	Spectrogram 1	10	1516.169475321	1518.064827739	138.900	239.900	?
84	Spectrogram 1	10	1525.290858835	1527.186211254	118.700	181.800	?
85	Spectrogram 1	10	1547.442790227	1550.167359329	55.600	171.700	
86	Spectrogram 1	10	1585.705717177	1587.601069595	118.700	267.700	?
87	Spectrogram 1	10	1582.270390918	1583.573445706	131.300	214.600	?
88	Spectrogram 1	10	1611.885272458	1613.780624877	98.500	244.900	
89	Spectrogram 1	10	1645.409318361	1647.423130306	55.600	194.400	
90	Spectrogram 1	10	1666.968952122	1669.693521224	83.300	174.200	
91	Spectrogram 1	10	1695.755116979	1697.650469398	48.000	209.600	?
92	Spectrogram 1	10	1721.697753208	1724.303862784	123.700	267.700	
93	Spectrogram 1	10	1735.202139191	1737.689789240	98.500	265.200	
94	Spectrogram 1	10	1741.835872655	1743.968144126	154.000	300.500	
95	Spectrogram 1	10	1741.835872655	1743.968144126	30.300	217.200	?
96	Spectrogram 1	10	1764.580101678	1766.238535044	85.900	255.100	
97	Spectrogram 1	10	1797.038011846	1799.407202369	121.200	234.800	
98	Spectrogram 1	10	1806.396814413	1809.002923988	48.000	212.100	
99	Spectrogram 1	10	1822.862688549	1825.113419546	70.700	184.300	
100	Spectrogram 1	10	1837.551669793	1839.683941264	65.700	270.200	
101	Spectrogram 1	10	1840.750076999	1842.882348470	108.600	219.700	
102	Spectrogram 1	10	1866.100415597	1868.588065647	75.800	179.300	
103	Spectrogram 1	10	1885.053939783	1887.186211254	45.500	207.100	
104	Spectrogram 1	10	1893.227647088	1895.004539980	75.800	171.700	?
105	Spectrogram 1	10	1958.262426950	1960.513157947	78.300	174.200	?
106	Spectrogram 1	10	2020.690597236	2022.941328233	116.200	202.000	?
107	Spectrogram 1	10	2024.244383021	2026.258194965	103.500	217.200	?
108	Spectrogram 1	10	2040.710757157	2043.672245311	78.300	351.000	
109	Spectrogram 1	10	2045.212219151	2047.344490622	85.900	222.200	
110	Spectrogram 1	10	2047.818328727	2049.713681145	98.500	262.600	
111	Spectrogram 1	10	2050.187519250	2052.438250247	73.200	287.900	
112	Spectrogram 1	10	2063.218067127	2065.231879072	101.000	262.600	
113	Spectrogram 1	10	2135.122999506	2137.136811451	70.700	224.700	?
114	Spectrogram 1	10	2137.492190030	2139.979840079	103.500	255.100	
115	Spectrogram 1	10	2158.400546397	2160.295898815	118.700	217.200	
116	Spectrogram 1	10	2215.616497532	2217.985688055	88.400	207.100	
117	Spectrogram 1	10	2270.641197433	2273.128847483	96.000	227.300	
118	Spectrogram 1	10	2323.119267522	2324.896160415	90.900	214.600	?
119	Spectrogram 1	10	2324.777700888	2326.673053307	90.900	209.600	?
120	Spectrogram 1	10	2353.681825271	2356.406394373	128.800	242.400	?
121	Spectrogram 1	10	2386.376654492	2388.627385489	103.500	237.400	?
122	Spectrogram 1	10	2432.102531589	2434.590181639	90.900	174.200	
123	Spectrogram 1	10	2472.497230010	2474.037203850	103.500	219.700	
124	Spectrogram 1	10	2581.243575025	2583.494306022	116.200	176.800	?
