ID Selection	View	Channel	BeginTimes	EndTimes	LowFreqHz	HighFreqHz	Notes
1	Spectrogram 1	10	6497.503686466	6499.127739850	91.300	175.500	?
2	Spectrogram 1	10	7211.368073684	7212.811676692	93.800	194.700	
3	Spectrogram 1	10	7220.931943609	7222.555996992	103.400	192.300	?
4	Spectrogram 1	10	7239.428107143	7241.232610902	103.400	226.000	
5	Spectrogram 1	10	7264.420934211	7266.405888346	86.500	228.400	
6	Spectrogram 1	10	7290.044887594	7291.849391353	74.500	211.500	
7	Spectrogram 1	10	7395.879483083	7397.052410526	98.600	163.500	?
8	Spectrogram 1	10	7397.142635714	7398.947139474	74.500	216.300	
9	Spectrogram 1	10	7407.608757519	7409.232810902	76.900	187.500	
10	Spectrogram 1	10	15360.360800752	15361.714178571	96.200	173.100	
12	Spectrogram 1	10	15471.879583083	15473.684086842	74.500	177.900	
13	Spectrogram 1	10	15493.172727444	15494.887006015	81.700	165.900	?
14	Spectrogram 1	10	16202.616080451	16204.781484962	76.900	182.700	?
15	Spectrogram 1	10	16403.909374812	16405.894328947	96.200	204.300	?
16	Spectrogram 1	10	16612.059783459	16614.134962782	120.200	247.600	?
17	Spectrogram 1	10	16684.150158647	16686.135112782	105.800	230.800	?
18	Spectrogram 1	10	16740.721351504	16742.706305639	76.900	187.500	?
19	Spectrogram 1	10	16802.706505639	16804.781684962	84.100	235.600	
20	Spectrogram 1	10	16857.924320677	16859.819049624	91.300	197.100	?
21	Spectrogram 1	10	16890.947189474	16892.841918421	93.800	230.800	
22	Spectrogram 1	10	16901.142635714	16902.856914286	91.300	180.300	
23	Spectrogram 1	10	16950.134912782	16952.300317293	74.500	182.700	
24	Spectrogram 1	10	17093.593861654	17094.947239474	113.000	213.900	
25	Spectrogram 1	10	17118.856914286	17121.112543985	117.800	238.000	
26	Spectrogram 1	10	17147.548524060	17149.713928571	91.300	271.600	
27	Spectrogram 1	10	17175.337881955	17177.322836090	52.900	192.300	
28	Spectrogram 1	10	17182.195446241	17184.090175188	93.800	228.400	
29	Spectrogram 1	10	17210.345704887	17212.240433835	103.400	228.400	
30	Spectrogram 1	10	17223.428357143	17224.871960150	110.600	180.300	?
31	Spectrogram 1	10	17237.593711654	17239.127539850	91.300	209.100	
32	Spectrogram 1	10	17266.375546617	17268.089825188	69.700	201.900	
33	Spectrogram 1	10	17272.961985338	17274.676263910	72.100	161.100	
34	Spectrogram 1	10	17297.323236090	17299.217965038	93.800	173.100	
35	Spectrogram 1	10	17314.105121053	17315.909624812	93.800	213.900	
36	Spectrogram 1	10	17315.999850000	17317.894578947	101.000	223.600	
37	Spectrogram 1	10	17503.939366541	17505.563419925	91.300	211.500	
38	Spectrogram 1	10	17857.623903383	17859.518632331	88.900	168.300	
39	Spectrogram 1	10	17906.435730075	17908.150008647	88.900	221.200	
40	Spectrogram 1	10	17938.736797368	17940.811976692	101.000	165.900	?
41	Spectrogram 1	10	17976.631376316	17978.526105263	115.400	197.100	
42	Spectrogram 1	10	18035.367973684	18036.992027068	137.000	211.500	
43	Spectrogram 1	10	18102.225287970	18103.849341353	86.500	153.800	
44	Spectrogram 1	10	18304.871960150	18306.856914286	93.800	163.500	
45	Spectrogram 1	10	18387.969808271	18389.052510526	110.600	192.300	?
46	Spectrogram 1	10	20097.473194737	20099.458148872	98.600	197.100	
47	Spectrogram 1	10	20136.180250376	20137.804303759	88.900	161.100	?
48	Spectrogram 1	10	20159.458348872	20161.623753383	93.800	230.800	?
49	Spectrogram 1	10	20251.668940977	20253.383219549	93.800	257.200	?
50	Spectrogram 1	10	20447.278048496	20448.902101880	91.300	182.700	
51	Spectrogram 1	10	21066.766439098	21068.751393233	105.800	264.400	
52	Spectrogram 1	10	21194.616430451	21196.150258647	88.900	204.300	
53	Spectrogram 1	10	21658.556146992	21660.721551504	67.300	278.800	
54	Spectrogram 1	10	21725.142785714	21726.405938346	105.800	238.000	?
55	Spectrogram 1	10	21736.060033459	21738.044987594	113.000	283.700	
56	Spectrogram 1	10	21880.150108647	21881.864387218	88.900	221.200	?
57	Spectrogram 1	10	22383.248006767	22385.142735714	88.900	262.000	
58	Spectrogram 1	10	22403.187773308	22405.623853383	113.000	319.700	
59	Spectrogram 1	10	22452.180050376	22454.435680075	105.800	274.000	
60	Spectrogram 1	10	22471.217565038	22473.202519173	67.300	156.200	?
61	Spectrogram 1	10	22514.074979323	22516.420834211	64.900	223.600	
62	Spectrogram 1	10	23650.916847744	23652.450675940	113.000	245.200	
63	Spectrogram 1	10	23829.653845113	23831.638799248	76.900	247.600	
64	Spectrogram 1	10	23857.533428195	23859.247706767	115.400	230.800	?
65	Spectrogram 1	10	24124.601334586	24126.947189474	98.600	185.100	?
66	Spectrogram 1	10	25473.473294737	25475.548474060	117.800	271.600	
67	Spectrogram 1	10	25699.668740977	25701.383019549	101.000	223.600	
68	Spectrogram 1	10	25719.157831579	25720.962335338	84.100	185.100	?
69	Spectrogram 1	10	25805.052210526	25806.676263910	141.800	269.200	
70	Spectrogram 1	10	26116.871810150	26118.315413158	108.200	240.400	
71	Spectrogram 1	10	26710.646472180	26712.090075188	117.800	218.800	?
72	Spectrogram 1	10	27055.398265414	27056.841868421	101.000	223.600	?
73	Spectrogram 1	10	31158.225337970	31160.300517293	84.100	182.700	?
74	Spectrogram 1	10	31219.939366541	31221.653645113	108.200	187.500	?
75	Spectrogram 1	10	31263.699032707	31265.683986842	91.300	197.100	?
76	Spectrogram 1	10	31952.661268045	31954.285321429	93.800	233.200	?
77	Spectrogram 1	10	37834.917147744	37836.090075188	84.100	197.100	?
78	Spectrogram 1	10	37944.721651504	37946.345704887	88.900	240.400	?
79	Spectrogram 1	10	37967.097498120	37969.172677444	93.800	250.000	?
80	Spectrogram 1	10	38050.285571429	38051.999850000	96.200	199.500	?
81	Spectrogram 1	10	38075.819299624	38077.804253759	96.200	295.700	
82	Spectrogram 1	10	38099.909424812	38101.623703383	84.100	199.500	?
83	Spectrogram 1	10	38133.473644737	38135.548824060	81.700	197.100	?
84	Spectrogram 1	10	38202.947039474	38205.473344737	79.300	197.100	
85	Spectrogram 1	10	38265.653995113	38267.999850000	84.100	221.200	
86	Spectrogram 1	10	38332.871760150	38334.586038722	52.900	168.300	
87	Spectrogram 1	10	38369.323186090	38371.217915038	96.200	223.600	
88	Spectrogram 1	10	38380.601334586	38382.496063534	88.900	218.800	
89	Spectrogram 1	10	38433.383069549	38435.638699248	69.700	158.700	
90	Spectrogram 1	10	38518.826772556	38520.811726692	96.200	221.200	?
91	Spectrogram 1	10	38596.872010150	38598.947189474	91.300	245.200	
92	Spectrogram 1	10	38621.683936842	38623.668890977	110.600	175.500	
93	Spectrogram 1	10	38631.789157895	38633.413211278	105.800	286.100	
94	Spectrogram 1	10	38706.225387970	38708.029891729	84.100	247.600	
95	Spectrogram 1	10	38824.962185338	38827.127589850	86.500	310.100	?
96	Spectrogram 1	10	39050.616280451	39052.601234586	81.700	182.700	
97	Spectrogram 1	10	39244.420884211	39247.308090226	69.700	175.500	
98	Spectrogram 1	10	40526.796880827	40528.511159398	115.400	247.600	
99	Spectrogram 1	10	40605.473244737	40607.097298120	115.400	221.200	?
100	Spectrogram 1	10	40646.345704887	40648.059983459	125.000	242.800	?
101	Spectrogram 1	10	40674.405738346	40676.751593233	115.400	266.800	
102	Spectrogram 1	10	40749.834445489	40751.548724060	113.000	312.500	
103	Spectrogram 1	10	40817.864237218	40820.029641729	96.200	245.200	
104	Spectrogram 1	10	41290.014895865	41291.458498872	163.500	264.400	?
105	Spectrogram 1	10	41451.789107895	41453.593611654	122.600	238.000	
106	Spectrogram 1	10	41587.578465789	41589.382969549	120.200	230.800	
107	Spectrogram 1	10	41610.586338722	41612.390842481	120.200	271.600	
108	Spectrogram 1	10	41664.811676692	41666.435730075	117.800	252.400	
109	Spectrogram 1	10	41769.473344737	41771.458298872	101.000	187.500	?
110	Spectrogram 1	10	41776.781584962	41778.405638346	146.600	307.700	?
111	Spectrogram 1	10	41877.383119549	41879.277848496	101.000	264.400	
